Stock,Alpha,Beta,Alpha_p,Beta_p,R2,Sector
AAPL,0.00045109495228257335,1.2033096486351365,0.05005542086950419,0.0,0.5580301308304114,Information Technology
ABBV,0.00040658292632719583,0.653132673068324,0.15579565932788167,3.0949280030906743e-131,0.19365318616730698,Health Care
BAC,8.330996905849423e-05,1.2090506793198397,0.7504421861725254,0.0,0.49595278692707767,Financials
CAT,0.0004149182224324859,1.07211143689472,0.13303016270578,0.0,0.4104168310296188,Industrials
COP,-1.6859757024103562e-05,1.1185974380133104,0.9652814993387591,1.3387236710746157e-197,0.2780515496884657,Energy
COST,0.0004431694052052673,0.7049444721952589,0.034846571768138795,1.250051899875392e-253,0.3424144048941238,Consumer Staples
CVX,-3.192540608981769e-05,0.9618926925292215,0.9098905346578138,5.2065971317593215e-260,0.34937063114922395,Energy
EOG,-4.679136442862923e-05,1.0438800546651634,0.9094457581607666,2.722937365728543e-158,0.2291855162514822,Energy
GE,9.08770533876275e-05,1.1031506608031358,0.7900007869433225,2.095038249764973e-238,0.32551479684935836,Industrials
GOOGL,0.0005044129874077257,1.1413151771305186,0.03890962338477862,0.0,0.5022632481181314,Communication Services
GS,0.00020052266545080873,1.2032332488016588,0.39113314776620556,0.0,0.5501547786815033,Financials
HON,-6.500631572480628e-06,0.9377417581400626,0.9723565286391053,0.0,0.5357397027463651,Industrials
JNJ,0.0001409479498800428,0.49266880727230017,0.46061106067569596,7.68892322780129e-163,0.23500518597351627,Health Care
JPM,0.00030328724086869463,1.09611612127376,0.1778200537339837,0.0,0.5228151735838407,Financials
KO,6.74041370184674e-05,0.5354814829442637,0.707092349872016,6.250467630096446e-209,0.29155540055836504,Consumer Staples
LLY,0.0008629477396661886,0.6906487007692392,0.006609325421199984,1.2039769224312192e-120,0.17930663225250254,Health Care
MA,0.0002963512977979271,1.1267115207541165,0.14549878541226186,0.0,0.5859066027461257,Financials
MCD,0.0002675802528580494,0.636829419891058,0.18277678031393674,5.364512180926292e-231,0.31713516266110187,Consumer Discretionary
MRK,0.0001578275594459596,0.5554306340709126,0.5151057477427247,2.7337970123621644e-132,0.19506723331480125,Health Care
MSFT,0.00046709093130095983,1.1851122117134847,0.018438663074744233,0.0,0.6230372862169279,Information Technology
NVDA,0.0016932810723979616,1.758899619272601,9.246457376934839e-05,0.0,0.43302012213664764,Information Technology
ORCL,0.00028879905790620735,1.0235225461041348,0.36139563709766376,1.1333661270219005e-238,0.32581467959009214,Information Technology
PEP,2.1886315612519193e-05,0.5790651807002013,0.90902890012985,2.1760287188556582e-213,0.2967993770604751,Consumer Staples
PFE,-0.00010738483613387339,0.59937364014751,0.668429359320427,1.2379434804785608e-142,0.20881636180173213,Health Care
RTX,0.00010880796906323691,0.9132815822394046,0.6701056417863134,1.5726570044872077e-280,0.37124843922769024,Industrials
SLB,-0.00042006123038392765,1.1205577092267027,0.29597807853830865,3.6170566831688496e-186,0.26416749746315504,Energy
UNP,-3.6505381814627726e-06,0.9182264587444792,0.9874093598180631,0.0,0.42116378002673527,Industrials
V,0.00023748660731138125,1.0264779633740233,0.211272905128022,0.0,0.5742084689604392,Financials
WMT,0.00036542397974616964,0.516943371959079,0.11681855170387141,5.047894948879756e-125,0.18526740906743,Consumer Staples
XOM,-4.698381103284683e-06,0.822100670704619,0.9864918473345852,2.887520835149079e-206,0.28840257585006834,Energy
